word,coefficient
sad,4.829509544929065
hate,3.73293709283423
worse,3.2111851510593734
sick,3.021201901804124
wrong,2.9578897949292347
annoying,2.934469955052807
waste,2.892159327007602
bs,2.8028916424933104
weird,2.7611891837861524
lost,2.746416777467108
terrible,2.7435680497878456
sucks,2.721729042672763
tired,2.67225097669701
poor,2.669882915775542
worst,2.6578537722328024
stupid,2.6322365346460903
unfortunately,2.6006023662798667
horrible,2.600244869588355
tragic,2.5796012190466078
bad,2.4813435019451147
evil,2.4354974197956163
dumb,2.4352208898809584
awful,2.429585056404553
dangerous,2.3954038227597954
sadly,2.389312494500246
sorry,2.3707608899633037
scary,2.362603988586776
crazy,2.357962541984285
ridiculous,2.3489077001161074
shit,2.3417114543541664
false,2.3311259261505146
murder,2.2613171022723644
dead,2.259989790762927
bullshit,2.145171181827136
ptsd,2.0947479211117157
fucking,2.0920573306461505
exhausting,2.08161730641056
guilty,2.079869900852247
tragedy,2.0481884628507196
heartbreaking,2.043383911018166
nonsense,2.034233199845919
painful,2.022524257557278
narcissist,2.0200389856552436
crap,2.0129891569970577
fake,1.9793717012325673
ass,1.9695084394163918
abuse,1.9610953626810732
lack,1.9412302930610517
garbage,1.9354727619089118
miss,1.9328722054345677
mad,1.9170886503253701
fool,1.901776041231261
insane,1.9015337450944938
manipulative,1.8306154729746589
destroyed,1.8193789104090246
killing,1.8073370272742868
slop,1.795173712362386
damn,1.7910197095506966
messed,1.7897593918230938
negative,1.7819195852896976
boring,1.7582995318107444
abusive,1.7558338032785947
disgusting,1.751314489243293
mentally,1.7511439533181212
people,1.7324076247532747
idiot,1.723778759278335
smh,1.7163512688742235
destroy,1.712944709933924
narcissistic,1.7085204200897728
hurt,1.6991313057282973
trash,1.6938022696424395
suck,1.6900209384611709
trump,1.681920005402436
problem,1.6670976541863345
ice,1.656298984282176
jail,1.637839177105138
fucked,1.6297037596654687
distracting,1.6190015350304654
hurts,1.6186342999042769
childish,1.6155041148812639
ruin,1.6087748635667936
shoot,1.6010893332970824
frustrating,1.6005064465623007
upset,1.5953797063485493
nightmare,1.5869446056486272
angry,1.5865668787261065
nightclub,1.5825131266756607
heck,1.5723726902506534
mccarthy,1.5578107520529414
killer,1.5506829044790007
threat,1.5423374688356049
seriously,1.5375183286496779
toxic,1.5356419757395274
horrific,1.5317549192220383
cruel,1.5258114497003108
prison,1.522849950294927
died,1.5188973680103859
hell,1.5138742385000603
embarrassing,1.512832444760756
hates,1.5091315140953667
damage,1.5090500861726888
gaslighting,1.5052054072324619
jealous,1.5000793936282
unreadable,1.4978394674662938
lies,1.4873912506469593
psychopath,1.4864414500387166
cringe,1.4863507433449206
finish,1.485733490903841
ruined,1.4761533753178329
stupidity,1.4714564421386898
idiots,1.4695172106910956
disorder,1.457927805063792
hard,1.4570745637956584
killed,1.4558569977984257
sociopath,1.4524265713485578
shocked,1.452007060864091
crime,1.4511535755512956
low,1.451068247900169
draining,1.4498498855178819
asshole,1.4459323894580673
kill,1.4436225752051084
arrested,1.4425706479256069
rip,1.4370400725869281
delusional,1.4347779740150965
violent,1.4327941806786277
obviously,1.4280298437972843
stop,1.422245268950411
gun,1.4216072419954902
devil,1.4075129162544013
difficult,1.4033850558495626
shame,1.3978747823219655
clickbait,1.396758721648059
ended,1.3953432835975088
abused,1.3947441106256802
owners,1.3730320391641644
disturbing,1.367083573162297
scared,1.3606644523493667
screwed,1.357818076428334
suffering,1.3559769160682176
creepy,1.355579619528644
insult,1.3486706965905315
afraid,1.3473742781207394
destroying,1.3432623245299369
gone,1.334892431202267
disappointing,1.3339709388297505
leave,1.3321160596879345
shouldn,1.3263357392034345
suspicious,1.324119142273905
blocked,1.3191952775412432
properly,1.3138890103524554
depression,1.3083700381447418
rude,1.305676480197869
basic,1.3049440501816827
harm,1.3013643927782734
extinguisher,1.2965685130411408
bunch,1.2945483902512402
strange,1.294192931417072
hurting,1.2915096727263926
officer,1.2899964351307027
wild,1.2897738938796264
dont,1.2821699932491997
reverse,1.2811324363623218
parents,1.2801574062514374
immature,1.2737470749021431
ugly,1.2726899794537452
trauma,1.2719307857350857
